Date,Close,High,Low,Open,Volume,Returns
3/11/2023,20632.41016,20792.52539,20068.66016,20187.87695,30180288176,0.022051847
3/12/2023,22163.94922,22185.03125,20448.80664,20628.0293,29279035521,0.07422977
3/13/2023,24197.5332,24550.83789,21918.19922,22156.40625,49466362688,0.091751879
3/14/2023,24746.07422,26514.7168,24081.18359,24201.76563,54622230164,0.022669295
3/15/2023,24375.96094,25240.61523,23964.91016,24770.92578,43655701450,-0.014956444
3/16/2023,25052.78906,25190.32617,24225.11133,24373.45703,33866061747,0.027766213
3/17/2023,27423.92969,27787.8125,24955.16992,25055.12305,50730261335,0.094645775
3/18/2023,26965.87891,27725.95313,26636.26172,27448.11719,35723036817,-0.016702595
3/19/2023,28038.67578,28440.56055,26907.7168,26969.50391,37769448859,0.039783494
3/20/2023,27767.23633,28527.72461,27242.88086,28041.60156,44774027664,-0.009680894
3/21/2023,28175.81641,28439.5625,27439.64648,27768.39258,36102192830,0.014714467
3/22/2023,27307.4375,28803.33594,26759.99609,28158.7207,33382021890,-0.030820009
3/23/2023,28333.97266,28729.84375,27183.36328,27301.95703,24220433689,0.037591779
3/24/2023,27493.28516,28388.4375,27039.26563,28324.11133,25980310960,-0.029670654
3/25/2023,27494.70703,27791.82617,27196.23438,27487.33789,13383005987,5.17E-05
3/26/2023,27994.33008,28178.14453,27445.04688,27495.52344,13878363192,0.018171608
3/27/2023,27139.88867,28037.92578,26606.68945,27994.06836,18188895178,-0.030521945
3/28/2023,27268.13086,27460.71875,26677.81836,27132.88867,17783600385,0.004725229
3/29/2023,28348.44141,28619.54297,27259.66211,27267.03125,20684945906,0.039618064
3/30/2023,28033.5625,29159.90234,27720.16016,28350.14063,22435349951,-0.01110745
3/31/2023,28478.48438,28639.89648,27583.71484,28032.26172,19001327598,0.015871043
4/1/2023,28411.03516,28802.45703,28297.17188,28473.33203,10876469901,-0.002368427
4/2/2023,28199.30859,28518.95898,27884.08789,28462.8457,12284641999,-0.007452265
4/3/2023,27790.2207,28475.62305,27276.7207,28183.08008,19556501327,-0.014507018
4/4/2023,28168.08984,28433.74219,27681.30469,27795.27344,15284538859,0.013597198
4/5/2023,28177.98438,28739.23828,27843.76367,28169.72656,17052315986,0.000351267
4/6/2023,28044.14063,28178.38477,27738.75977,28175.22656,13837809380,-0.004749941
4/7/2023,27925.85938,28111.59375,27794.03125,28038.9668,10861680497,-0.004217681
4/8/2023,27947.79492,28159.86328,27883.38672,27920.51367,9373255556,0.000785492
4/9/2023,28333.05078,28532.83008,27828.48047,27952.36719,12175322951,0.013784839
4/10/2023,29652.98047,29771.46484,28189.27148,28336.02734,19282400094,0.046586218
4/11/2023,30235.05859,30509.08398,29609.30078,29653.67969,20121259843,0.019629667
4/12/2023,30139.05273,30462.48047,29725.57422,30231.58203,18651929926,-0.003175316
4/13/2023,30399.06641,30539.8457,29878.62305,29892.74023,17487721001,0.008627135
4/14/2023,30485.69922,31005.60742,30044.49805,30409.5625,22659995079,0.002849851
4/15/2023,30318.49609,30601.74023,30245.88281,30490.75,11940685378,-0.005484641
4/16/2023,30315.35547,30555.53711,30157.83203,30315.97656,12854816417,-0.000103588
4/17/2023,29445.04492,30319.19727,29275.37109,30317.14648,17872186762,-0.028708571
4/18/2023,30397.55273,30470.30273,29154.84961,29449.0918,19480529496,0.032348662
